"Row","Group","Emoji","Name","Code Point","Windows Input","HTML Entity","macOS Input"
"1","Smileys & Emotion","😀","E1.0 grinning face","U+1F600","Type 1F600, then Alt+X","&#x1F600;","⌃⌘Space → type name and select"
"2","Smileys & Emotion","😃","E0.6 grinning face with big eyes","U+1F603","Type 1F603, then Alt+X","&#x1F603;","⌃⌘Space → type name and select"
"3","Smileys & Emotion","😄","E0.6 grinning face with smiling eyes","U+1F604","Type 1F604, then Alt+X","&#x1F604;","⌃⌘Space → type name and select"
"4","Smileys & Emotion","😁","E0.6 beaming face with smiling eyes","U+1F601","Type 1F601, then Alt+X","&#x1F601;","⌃⌘Space → type name and select"
"5","Smileys & Emotion","😆","E0.6 grinning squinting face","U+1F606","Type 1F606, then Alt+X","&#x1F606;","⌃⌘Space → type name and select"
"6","Smileys & Emotion","😅","E0.6 grinning face with sweat","U+1F605","Type 1F605, then Alt+X","&#x1F605;","⌃⌘Space → type name and select"
"7","Smileys & Emotion","🤣","E3.0 rolling on the floor laughing","U+1F923","Type 1F923, then Alt+X","&#x1F923;","⌃⌘Space → type name and select"
"8","Smileys & Emotion","😂","E0.6 face with tears of joy","U+1F602","Type 1F602, then Alt+X","&#x1F602;","⌃⌘Space → type name and select"
"9","Smileys & Emotion","🙂","E1.0 slightly smiling face","U+1F642","Type 1F642, then Alt+X","&#x1F642;","⌃⌘Space → type name and select"
"10","Smileys & Emotion","🙃","E1.0 upside-down face","U+1F643","Type 1F643, then Alt+X","&#x1F643;","⌃⌘Space → type name and select"
"11","Smileys & Emotion","🫠","E14.0 melting face","U+1FAE0","Type 1FAE0, then Alt+X","&#x1FAE0;","⌃⌘Space → type name and select"
"12","Smileys & Emotion","😉","E0.6 winking face","U+1F609","Type 1F609, then Alt+X","&#x1F609;","⌃⌘Space → type name and select"
"13","Smileys & Emotion","😊","E0.6 smiling face with smiling eyes","U+1F60A","Type 1F60A, then Alt+X","&#x1F60A;","⌃⌘Space → type name and select"
